PARCEL_ID,PARCEL_ID_FROM_ADDRESS,PARCEL_ID_FROM_GEOMETRY,LISTING_ID,LATITUDE,LONGITUDE,ADDRESS,ZIP_CODE,PRICE,IS_VACANT
0152H00014000000,0152H00014000000,0152H00014000000,3938285,40.449626,-80.100063,190 Bilmar Dr,15205,19.75,False
0102M00200000000,0102M00200000000,0102M00200000000,3938247,40.397979,-80.08456,1100 Washington Ave,15106,16.25,False
0451P00223000000,0451P00223000000,0451P00223000000,3938233,40.446549,-79.827587,645 Rodi Rd,15235,14.0,False
0452C00020000000,0452C00020000000,0452C00020000000,3938062,40.442981,-79.823891,701 Rodi Rd,15235,10.75,False
0451P00223000100,0451P00223000100,0451P00223000000,3938015,40.445354,-79.827196,665 Rodi Rd,15235,13.0,False
0451P00223000000,0451P00223000000,0451P00223000000,3938014,40.446493,-79.82681,655 Rodi Rd,15235,13.5,False
0017A00280000000,0017A00280000000,0017A00280000000,3937987,40.421517,-80.048817,100 Fleet St,15220,17.5,False
0017E00020000000,0017E00020000000,0017E00020000000,3937965,40.420904,-80.049322,200 Fleet St,15220,20.0,False
0017A00275000000,0017A00275000000,0017A00260000000,3937950,40.421101,-80.048309,300 Fleet St,15220,19.0,False
0001D00080000000,0001D00080000000,0001D00032000000,3937805,40.44266,-80.000956,625 Liberty Ave,15222,32.25,False
0387K00050000000,0387K00050000000,0387L00250000000,38756741,40.338064,-79.943689,3075 Clairton Rd,15122,,True
0103M00090000000,0103M00090000000,0103M00090000000,38625071,40.407722,-80.083978,510 Washington Ave,15106,,False
0334G00006000000,0334G00006000000,0334G00006000000,38477240,40.440847,-80.154119,5168 Campbells Run Rd,15205,,False
0319D00020000000,0319D00020000000,0319D00020000000,38404270,40.352736,-80.049649,1665 Washington Rd,15228,,False
0017F00300000000,0017F00300000000,0017F00300000000,38335417,40.420668,-80.044101,965 Greentree Rd,15220,,False
0196S00001000000,0196S00001000000,0196S00001000000,38306313,40.365332,-80.10186,580 Mayer St,15017,,False
0457S00018000000,0457S00018000000,0457S00018000000,38081172,40.385888,-79.819783,1610 Greensburg Pike,15137,,False
0036R00059000000,0036R00059000000,0036R00059000000,37827477,40.404847,-80.037741,2809 Banksville Rd,15216,,False
0492M00070000000,0492M00070000000,0492M00070000000,37803951,40.398319,-80.183306,25 Hastings Ave,15071,,False
0087C00091000000,0087C00091000000,0087C00091000000,37431019,40.431555,-79.923426,2242 Murray Ave,15217,,False
0239B00245000000,0239B00245000000,0239B00245000000,37426672,40.382082,-79.876658,4927 Homeville Rd,15122,,False
0102E00160000000,0102E00160000000,0102E00160000000,37408246,40.399677,-80.095581,100 Keystone Dr,15106,,False
0690K00001000000,0690K00001000000,0690K00001000000,37074365,40.435858,-80.228194,150 Imperial Industrial Park Dr,15071,,False
0203B00283000000,,0203B00283000000,36676914,40.433384,-80.127306,1401-1418 Parkway View Dr,15205,,False
0028B00081000000,0028B00081000000,0028B00081000000,36667284,40.440845,-79.959185,3518 Fifth Ave,15213,,False
0066J00006000000,0066J00006000000,0066J00008000000,36665821,40.408507,-80.082145,400 Lydia St,15106,,False
0086H00074000000,0086H00074000000,0086H00071000000,36504434,40.438357,-79.918571,6315 Forbes Ave,15217,,False
0028C00172000000,0028C00172000000,0028C00172000000,36299798,40.440883,-79.957017,209 Atwood St,15213,,False
0203A00268000000,,0203A00268000000,36299544,40.435335,-80.130367,612 Parkway View Dr,15205,,False
0545J00167000000,0545J00167000000,0545J00167000000,36181069,40.396289,-79.81244,1003-1005 Airbrake Ave,15148,,False
0177L00086000000,,0177L00086000000,36169564,40.427042,-79.886218,1705-1775 S Braddock Ave,15218,,False
0012E00294000000,,0012E00294000000,36093005,40.429032,-79.982282,1609-1611 E Carson St,15203,,False
