CENSUS_TRACT,LAND_VALUE_PER_SQFT
4550,5.430675238195788
4560.03,1.6408229660299303
4460,11.861789396118388
5619,3.8473425520794184
4571,7.606051390754184
4470,2.54159236869489
4572,9.203741705482683
4480,4.628227197199802
4490,2.105252149939185
4323,7.036875606400182
4311,8.305562744572356
5638,2.6349678190362544
5633,1.943089082028462
4511.04,2.3365311715183728
4511.05,2.695238313523829
5640,1.5079069785871635
4530.03,0.8253295885823762
4340,12.952427018078755
4350,8.222349122208886
1405,25.1588123374564
1702,105.49132742279646
4282,2.878831608490498
501,39.38755765828723
706,95.75076524747931
807,37.118803619825236
901,53.97210255620209
1115,41.698284159906905
4600.01,3.34479091302324
3207,10.463022954442563
4900.03,5.097243829618497
4802,4.693571052831713
4900.04,4.318606300583369
4511.01,3.269304877937832
5215,3.366881137628738
4560.04,4.5921565549111225
5261.02,1.2259987005764406
4141.01,3.438622392718065
4291,3.942654884349669
4271,4.8023267778417855
4911.01,2.318789140884921
4520,1.5692555968628652
4591.02,3.5963545344289747
4513,2.249696368365563
5233,1.9443410456687495
1408,35.53282819943256
1413,34.483310807359466
4455,26.573110114223322
4035,4.413614172607122
5263.02,3.2949198633958994
1014,24.186025047724975
1403,46.89229622984579
4704,9.814013994170642
1404,31.663055445640133
406,30.181214101965956
4928,3.0161289416492565
4270,6.767403077620476
2614,27.986581873558222
201,269.04637791745375
409,35.30335152010299
4211,7.280105098494637
1803,5.629123758522149
2901,6.174712400522492
4753.03,5.090480100014373
5232,2.4741393841989923
5213.01,2.441640317067814
5614,3.6315034300333413
5138,9.831131551969326
2509,34.07953707388779
203,254.70233075161232
5094,3.708822196855095
5263.01,2.8473827368156943
4080.02,3.0281270246117087
4272,4.862660543562384
4314,7.708228348943651
4302,13.011559074729226
3204,7.702355623111382
4961.01,1.6516532081612518
4962,2.4938826720197516
4803,5.084538644652156
5211,4.863473083974299
4390,1.577066444309691
4250,7.650077396882003
5212,2.469926637198907
1106,40.49340898942814
4772,8.461821453366596
4742.01,5.684686956412841
5262.01,2.5093753363841125
4135,4.492240467835626
4263,6.561870274565715
4296,6.189214231318195
4150.02,1.6660502521334415
4885,2.0526582269039886
4600.02,3.7183244790206023
5214.02,3.0128645434969847
5030.02,4.496426868983632
4293,4.7390550739525175
4141.02,3.765286182174969
4292.01,6.596787072737376
4070.01,1.0002919901334442
509,40.159218080745724
1911,27.379158568228043
4782,4.413966864030881
4706,7.780547203173372
1411,26.748822987348795
4150.01,1.6908767182656452
4080.01,3.039054432723551
4133,4.514284417200931
4220,4.85522555295798
1914,20.09686447406885
4883,3.372380015135224
4560.01,1.5897294396105168
4591.01,2.609546579139384
4315,9.002746040150878
4771,11.179779664446475
4804,3.1887819813478933
4884,3.4702735109741747
4761,9.36891787452434
4703,7.272664811975882
4741.01,6.494149007970203
1706,22.70540911045909
4961.02,1.6038607089677126
5235.01,2.3910626640908226
4142,3.3514807153471455
4240,13.0741107025773
2904,6.424738850015242
4592.01,3.8967571258528273
4900.02,4.18583354101601
5041,2.8401385921410545
5190,5.202013795019356
4120.02,3.7981749478467144
2701,12.852860597924177
1919,13.35871746566813
1918,12.661961600732743
1920,8.763033861759368
1516,20.744368559762815
1517,23.043835508626692
4324,10.086676958753973
305,79.63253565631783
402,32.9021764831387
1018,17.814529459607016
1102,37.72602840623665
1807,31.769748380162714
2022,7.0559303143749315
5180.01,7.163338956394975
506,14.086551649258434
4846,6.045182925223439
5512,3.6719581860754396
4040,2.052777827693177
4754.02,5.376141702415012
4710,8.175036151538015
4658,6.662559484059555
1915,15.761442619827692
1916,9.869661959508019
4742.02,6.641502124835448
5214.01,2.7872053342544447
5261.01,1.49712602884171
4592.02,
4881,4.90074197908793
2023,6.586392897728602
510,22.211233910645934
511,39.38755765828723
5623,7.780608909503427
3102,2.624647368520946
5200.02,2.9978859479501776
5235.02,2.565768047025975
5237.02,1.6599781008205414
5262.02,3.026544326200169
802,45.16202457888456
804,46.19574423780634
809,42.46802732963047
1302,4.218839959383059
1306,1.8431865356458477
4927,3.4562457143243654
4132.02,2.6840170200152493
4292.02,6.563405335380359
2602,8.877837536582218
4621,3.7893669551580964
4733,16.54152572245611
5513,1.9598146010079118
5231,1.861818713821456
4741.02,6.309310455546374
4264,6.521128057862341
4200,11.175796754891513
4868,1.9288637760107004
5236,2.1069060554884684
5238,2.5325170774477526
5200.01,3.8129463925066887
5524,2.8229061997756153
1414,33.784782500112904
4843,5.504689263090654
4690,6.970954868432405
404,135.09777116086616
4970,0.7957001760745759
4132.01,4.260699085068559
4511.02,4.534141610007627
1917,10.050048018985175
2607,10.10167028628446
4212,3.41829034756495
4754.01,6.408282031417921
4295,7.535748339381038
4753.04,5.282091947728501
4131,3.4945366855597655
4070.02,1.8593458860904648
1203,2.238815892108745
4886,2.581944692471541
806,38.37880108510555
4912,1.7118443772192122
405,44.14120663441004
